"gene_symbol","uniprot_id","protein_groups","protein_description","mol_weight_da","n_precursors_exp","n_samples_detected","pct_samples_detected","median_precursors_used","mean_log2_D14","mean_log2_D21","mean_log2_M03","mean_log2_M06","mean_log2_M12","mean_log2_M18","D14.rep1.Quantity.log2","D14.rep2.Quantity.log2","D14.rep3.Quantity.log2","D14.rep4.Quantity.log2","D14.rep5.Quantity.log2","D21.rep1.Quantity.log2","D21.rep2.Quantity.log2","D21.rep3.Quantity.log2","D21.rep4.Quantity.log2","D21.rep5.Quantity.log2","M03.rep1.Quantity.log2","M03.rep2.Quantity.log2","M03.rep3.Quantity.log2","M03.rep4.Quantity.log2","M03.rep5.Quantity.log2","M06.rep1.Quantity.log2","M06.rep2.Quantity.log2","M06.rep3.Quantity.log2","M06.rep4.Quantity.log2","M06.rep5.Quantity.log2","M12.rep1.Quantity.log2","M12.rep2.Quantity.log2","M12.rep3.Quantity.log2","M12.rep4.Quantity.log2","M12.rep5.Quantity.log2","M18.rep1.Quantity.log2","M18.rep2.Quantity.log2","M18.rep3.Quantity.log2","M18.rep4.Quantity.log2","M18.rep5.Quantity.log2","go_molecular_function","go_biological_process","go_cellular_component","kegg_pathway"
"Col18a1","P39061","COIA1_MOUSE","Collagen alpha-1(XVIII) chain",NA,NA,30,100,NA,15.1109600067139,14.0952518463135,13.3154054641724,13.1735622406006,12.9449434280395,12.7870412826538,14.6514377593994,15.2619295120239,15.0014133453369,15.6272878646851,15.012731552124,14.310905456543,14.1947317123413,13.7531585693359,14.2578039169312,13.959659576416,13.0496988296509,13.6110610961914,12.9972143173218,13.526909828186,13.3921432495117,13.1427021026611,13.1051254272461,13.2484292984009,13.0957336425781,13.2758207321167,12.785249710083,13.2863569259644,13.1872406005859,12.558403968811,12.9074659347534,12.8887567520142,13.1735582351685,12.7671270370483,12.4621820449829,12.6435823440552,NA,NA,NA,NA
"Col15a1","O35206","COFA1_MOUSE","Collagen alpha-1(XV) chain",NA,NA,30,100,NA,12.5852443695069,13.2161712646484,12.82545337677,13.0024332046509,13.1470329284668,12.8197751998902,12.499680519104,12.544960975647,12.6310606002808,13.1228818893433,12.1276378631592,13.3355655670166,13.2387371063232,13.2799520492554,13.0672121047974,13.1593894958496,12.7934074401855,12.6927652359009,12.8634281158447,12.8252506256104,12.9524154663086,12.9910135269165,12.9877252578735,12.9277839660645,13.1301698684692,12.9754734039307,13.1137361526489,13.1926689147949,13.2425298690796,12.8606824874878,13.3255472183228,12.779486656189,13.2099523544312,12.8308296203613,12.7760639190674,12.5025434494019,NA,NA,NA,NA
"Col14a1","Q80X19","COEA1_MOUSE","Collagen alpha-1(XIV) chain",NA,NA,30,100,NA,11.6509996414184,10.2093521118164,9.70594387054443,9.46201782226562,9.82264976501465,9.95431289672853,12.2377347946167,11.7103519439697,11.5325717926025,11.8454875946045,10.9288520812988,10.4575462341309,9.90230560302734,10.3966007232666,10.0877161026001,10.2025918960571,10.0301361083984,9.17345809936523,9.81766128540039,9.6528787612915,9.8555850982666,9.8206615447998,9.49494743347168,9.36423015594482,9.11539363861084,9.51485633850098,9.75247764587402,9.47568416595459,9.43512630462646,10.3433542251587,10.1066064834595,9.52689743041992,10.1032114028931,9.6928768157959,10.6842546463013,9.76432418823242,NA,NA,NA,NA
"Col9a2","Q07643","CO9A2_MOUSE","Collagen alpha-2(IX) chain",NA,NA,30,100,NA,6.26158075332641,8.00545272827148,5.58917865753174,5.70726852416992,5.24015169143677,5.88247289657593,6.41296148300171,5.57625389099121,5.76543045043945,7.21003723144531,6.34322071075439,7.78363132476807,8.71978187561035,7.00835037231445,8.14480209350586,8.37069797515869,6.63456535339355,5.73203611373901,5.00692892074585,4.74982166290283,5.82254123687744,6.14657020568848,6.39638185501099,5.00474691390991,4.50163793563843,6.48700571060181,5.39215612411499,5.52075624465942,4.46908330917358,5.1324257850647,5.68633699417114,6.14580535888672,4.59001779556274,6.35295724868774,7.11721515655518,5.20636892318726,NA,NA,NA,NA
"Col11a1","Q61245","COBA1_MOUSE","Collagen alpha-1(XI) chain",NA,NA,30,100,NA,13.9849607467651,13.6616516113281,12.2903661727905,12.2134113311768,12.4165222167969,13.1434860229492,13.4120302200317,14.2259292602539,13.5703506469727,14.9213485717773,13.79514503479,14.2588720321655,14.0412902832031,12.9131736755371,13.8148698806763,13.2800521850586,11.8740339279175,12.4679365158081,11.5864448547363,12.9631147384644,12.5603008270264,12.245062828064,12.0601110458374,12.1047124862671,12.3594064712524,12.2977638244629,12.5199394226074,12.614185333252,12.0958070755005,12.2639780044556,12.5887012481689,12.8935432434082,12.7791585922241,13.1709012985229,13.4403133392334,13.4335136413574,NA,NA,NA,NA
"Col3a1","P08121","CO3A1_MOUSE","Collagen alpha-1(III) chain",NA,NA,30,100,NA,16.9595729827881,15.3855812072754,14.3883016586304,14.6387962341309,15.1103094100952,15.3247741699219,16.340145111084,17.2200565338135,16.3358516693115,18.0590877532959,16.8427238464355,16.0304775238037,15.8171052932739,14.329930305481,15.7478857040405,15.0025072097778,14.1635885238647,14.8976650238037,13.9882678985596,14.6409711837769,14.251015663147,14.0914850234985,14.6815433502197,14.8542823791504,14.6334390640259,14.9332313537598,15.2113151550293,15.3013620376587,14.729208946228,15.3599443435669,14.9497165679932,15.1979646682739,14.8488721847534,15.6593942642212,15.5137977600098,15.4038419723511,NA,NA,NA,NA
"Col12a1","Q60847","COCA1_MOUSE","Collagen alpha-1(XII) chain",NA,NA,30,100,NA,13.4596660614014,11.4133934020996,12.2656524658203,12.7623174667358,12.9846088409424,13.2431886672974,13.0682153701782,13.9328088760376,13.1327133178711,13.6234540939331,13.5411386489868,11.5225057601929,11.1680364608765,11.2145490646362,11.4906578063965,11.671217918396,12.2999515533447,12.4414863586426,12.4291229248047,12.2453269958496,11.91237449646,12.6520261764526,12.693078994751,12.9315423965454,12.7868633270264,12.7480764389038,12.7651281356812,12.8506107330322,12.5725650787354,13.3051204681396,13.4296197891235,12.9058132171631,13.1085891723633,12.6862831115723,13.636420249939,13.8788375854492,NA,NA,NA,NA
"Col5a1","O88207","CO5A1_MOUSE","Collagen alpha-1(V) chain",NA,NA,30,100,NA,17.379292678833,15.8108047485352,14.8584011077881,14.9969938278198,15.442067527771,15.9088743209839,16.7594661712646,17.6486434936523,16.9231548309326,18.3665065765381,17.1986923217773,16.4280281066895,16.2985363006592,15.0673189163208,16.0765247344971,15.1836156845093,14.4796514511108,15.2584180831909,14.2491540908813,15.3551902770996,14.9495916366577,14.8897933959961,14.7866725921631,15.0075778961182,15.2545070648193,15.0464181900024,15.4168920516968,15.7832870483398,15.163233757019,15.3406457901001,15.5062789916992,15.8358554840088,15.4204578399658,15.9767007827759,16.1183013916016,16.1930561065674,NA,NA,NA,NA
"Col26a1","Q91VF6","COQA1_MOUSE","Collagen alpha-1(XXVI) chain",NA,NA,30,100,NA,7.3841025352478,6.06431121826172,4.53154029846191,5.77624306678772,5.48440980911255,5.65421857833862,8.09101104736328,6.55285453796387,6.59888124465942,7.97104454040527,7.70672130584717,5.70225143432617,7.13437604904175,5.31248807907104,5.88569307327271,6.28674745559692,4.14495706558228,4.90810203552246,3.43850946426392,6.01771259307861,4.1484203338623,6.85774850845337,5.97379636764526,6.56233978271484,3.86892914772034,5.61840152740479,4.60666513442993,4.38642883300781,6.35492610931396,5.35856056213379,6.71546840667725,4.83693933486938,5.63827562332153,4.82035541534424,6.61590814590454,6.35961437225342,NA,NA,NA,NA
"Col6a4","A2AX52","CO6A4_MOUSE","Collagen alpha-4(VI) chain",NA,NA,30,100,NA,11.2732471466064,11.1360975265503,13.2866373062134,13.1903230667114,13.5128034591675,14.4393238067627,11.0570516586304,11.2351770401001,10.9515218734741,10.8678102493286,12.254674911499,11.0630474090576,10.954044342041,11.8928327560425,10.6164541244507,11.1541090011597,13.3345041275024,13.2733287811279,13.5769872665405,13.0131568908691,13.2352094650269,13.2173004150391,13.0873928070068,13.2799062728882,13.2668495178223,13.1001663208008,13.5960788726807,13.164680480957,13.4556217193604,13.5932340621948,13.7544021606445,14.4100303649902,13.7892818450928,13.6447381973267,15.3509435653687,15.0016250610352,NA,NA,NA,NA
